宠物服务/配种	广州专业工作犬，宠物狗训练，寄养学校	天河 - 珠江新城600元
其他服务	广州专业中外礼仪模特 主持人 表演 充场 展会工作	海珠 - 昌岗13439010749
职业技能	刚毕业的瑜伽教练好找工作吗	天河 - 华师地铁站-e口8500元
物业管理/保安	越秀包吃住+	越秀 - 就近分配8001-10000
物业管理/保安	花都保安门卫+	花都 - 就近分配5001-8000
餐饮	急需商务女服务员-	白云 - 人和 - 江夏地铁站B出口8001-10000元
出国劳务	新西兰	广州周边 - 广州周边 - 全国诚招各区域代理，返利丰厚！20000元以上
出国劳务	出国劳务中餐厅招聘包吃住保签	天河 - 高新区天府二街绿地之窗1栋90520000元以上
出国劳务	广州出国劳务招聘信息	天河 - 成都市高新区吉庆一路绿地之窗1栋905号20000元以上
财务/会计	急聘出纳，有话补，有包住，	白云 - 永泰 - 永唐路磨刀南街40号金泰商务大厦永泰..3001-5000元
财务/会计	招财务/会计助理，有包住，有话补，	白云 - 永泰 - 永唐路磨刀南街40号金泰商务大厦永泰..面议
酒店	招聘女服务员 工资高 待遇好，无需	天河 - 天河公园 - 304号8001-10000元
酒店	如果你急需用钱 需要一份	天河 - 天河公园 - 304号8001-10000元
物业管理/保安	越秀保安门卫+	越秀 - 就近分配5001-8000
行政/后勤	广州2021好	天河 - 根据个人意愿选择8000-10000元以上
运输/物流/仓管	厂区急聘 苏州普工 弹性	海珠 - 就近分配5001-8000
出国劳务	广州出国	天河 - 成都市高新区吉庆一路绿地之窗1栋905号20000元以上
物业管理/保安	黄埔包吃住+	黄埔 - 就近分配8001-10000
物业管理/保安	广州女老板外勤保安招聘	花都 - 中区 - 广东省广州市花都10001-12000元
运输/物流/仓管	花都仓管维修＋开心	花都 - 就近分配8001-10000
行政/后勤	好	番禺 - 全国可分配3000-6000
物业管理/保安	安保	花都 - 就近分配8001-10000
出国劳务	广州出国打工什么活挣钱	天河 - 高新区天府二街绿地之窗1栋90520000元以上
工人/技工	5G手机厂包吃住月6千	天河 - 体育西路 - 玉树工业园5001-8000元
工人/技工	5G手机厂包吃住月6千	天河 - 体育西路 - 玉树工业园5001-8000元
运输/物流/仓管	弹性	荔湾 - 就近分配5001-8000
运输/物流/仓管	荔湾弹性	荔湾 - 就近分配5001-8000
出国劳务	广州海外劳务华人企业劳务派遣国外保走项目正规	南沙 - 四川省成都市20000元以上
行政/后勤	广东广州增城就业好	增城 - 全国根据个人户籍就近分配8001-10000元
行政/后勤	广州2021好	白云 - 根据个人意愿选择8001-10000元
出国劳务	广州正规出国打工华人餐厅大量招厨师正规	天河 - 四川省成都市20000元以上
物业管理/保安	天河巡逻保安+	天河 - 就近分配5001-8000
物业管理/保安	安保	番禺 - 就近分配8001-10000
租房/出租	自在城市花园 精装修3室让您在繁忙的	番禺 - 迎宾路4200元
租房/出租	诺德名都 精装修3室让您在繁忙的	番禺 - 兴业大道西989号4500元
租房/出租	诺德名都 精装修2室让您在繁忙的	番禺 - 兴业大道西989号4000元
行政/后勤	好	花都 - 全国可分配3000-6000
运输/物流/仓管	越秀普工长白班＋仓管维修＋弹性	越秀 - 就近分配5001-8000
运输/物流/仓管	仓管测试＋普工技工＋弹性	番禺 - 就近分配5001-8000
行政/后勤	高端美丽好	南沙 - 根据意向地分配5001-8000
行政/后勤	高端体面好	黄埔 - 根据意向地分配5001-8000
行政/后勤	广州高薪做二休三好	萝岗 - 全国根据个人户籍就近分配8000-10000元以上
行政/后勤	广州2021首选好	增城 - 全国根据个人户籍就近分配8000-10000元以上
物业管理/保安	番禺巡逻保安+	番禺 - 就近分配5001-8000
行政/后勤	广州首选好	天河 - 根据户籍以及个人意愿就近安置20000元以上
运输/物流/仓管	广州3、负责保持仓内货品和环境的清洁、整齐和卫生	天河 - 就近分配20000元以上
行政/后勤	广州首选好	天河 - 根据个人户籍就近分配20000元以上
物业管理/保安	荔湾包吃住+	荔湾 - 就近分配8001-10000
驾校服务	中山考B2开大货车	广州周边 - 广州周边9800元
行政/后勤	广州好	天河 - 根据个人户籍就近分配20000元以上
行政/后勤	好	萝岗 - 全国可分配3000-6000
行政/后勤	广东广州高端美丽好	花都 - 工作地点可以按照个人户籍就近分配8001-10000元
运输/物流/仓管	天河仓管维修＋开心	天河 - 就近分配5001-8000
行政/后勤	广东广州花都高端	花都 - 根据个人户籍就近分配8001-10000元
行政/后勤	2021时尚靓丽好	萝岗 - 根据个人意愿就近分配5000-8000元
行政/后勤	广东广州增城就业好	增城 - 根据户籍就近分配8001-10000元
行政/后勤	高端美丽好	白云 - 根据意向地分配5001-8000
行政/后勤	高端体面好	番禺 - 根据意向地分配5001-8000
运输/物流/仓管	白云仓管维修＋开心	白云 - 就近分配5001-8000
行政/后勤	做二休三七险一金好	番禺 - 根据个人户籍就近分配8001-10000
运输/物流/仓管	天河普工长白班＋仓管维修＋弹性	天河 - 就近分配5001-8000
行政/后勤	好	白云 - 全国可分配3000-6000
同城征婚	寻找在广州	白云 - 白云大道北 - 地铁2号线白云公园51岁
运输/物流/仓管	荔湾弹性	荔湾 - 就近分配8001-10000
运输/物流/仓管	增城弹性	增城 - 就近分配5001-8000
物业管理/保安	越秀诚聘保安+	越秀 - 就近分配5001-8000
行政/后勤	广州首选好	天河 - 根据个人户籍就近分配20000元以上
工人/技工	从化弹性	从化 - 苏州市虎丘区鹿山路369号5001-8000
行政/后勤	好	荔湾 - 全国可分配3000-6000
行政/后勤	做二休三七险一金好	番禺 - 根据个人户籍就近分配8001-10000
行政/后勤	广东广州增城做二休三七险一金好	增城 - 工作地点可以按照个人户籍就近分配8001-10000元
运输/物流/仓管	花都弹性	花都 - 就近分配5001-8000
二手房出售	华南新城北区正南110方 真实图新装修 业主	番禺 - 南村镇南大路168号380万元
写字楼出租	从化碧桂园1960 ，云集成功企业的地方，	从化 - 从化区河滨北路86号1000元/月
行政/后勤	广东广州番禺做二休三七险一金好	番禺 - 工作地点可以按照个人户籍就近分配8001-10000元
行政/后勤	好	白云 - 根据意向地分配5001-8000
运输/物流/仓管	弹性	海珠 - 就近分配5001-8000
行政/后勤	好	越秀 - 全国可分配3000-6000
在线教育	广州Web前端培训出来真的不好找	白云 - 京溪 - 学山塘学山文化创意谷A1栋六楼面议
行政/后勤	2021时尚靓丽好	越秀 - 就近分配5000-8000元以上
物业管理/保安	花都巡逻保安+	花都 - 就近分配5001-8000
运输/物流/仓管	海珠开心	海珠 - 就近分配5001-8000
运输/物流/仓管	广州名企月入8K	天河8000-18000元以上
行政/后勤	做二休三七险一金好	番禺 - 根据个人户籍就近分配8001-10000
出国劳务	广州劳务输出	天河 - 珠江新城 - 诚招代理20000元以上
写字楼出租	直播间  美甲	荔湾 - 西城都荟1800元/月
行政/后勤	广州首选好	天河 - 根据户籍以及个人意愿就近安置20000元以上
行政/后勤	A 首选好	越秀 - 按个人意愿和户籍所在地就近分配5000-8000元以上
行政/后勤	好	黄埔 - 全国可分配3000-6000
