物业管理 保安 	 北京西站 急招 保安 工作 8 小时 吃 住 好 	 海淀 - 海淀 周边 - 北京西站 5001 - 8000 元
物业管理 保安 	 工作 轻松 8 小时 4500 急招 辅警 	 朝阳 - 酒仙桥 - 朝阳区 酒仙桥 5001 - 8000 元
物业管理 保安 	 急招 辅警 吃 住 派出所 跟 警察 出警 工作 舒服 	 顺义 - 李桥 - 顺义 李桥 3001 - 5000 元
运输 物流 仓管 	 石景山 开心 	 石景山 - 就近 分配 5001 - 8000
运输 物流 仓管 	 加班 补贴 弹性 	 昌平 - 就近 分配 5001 - 8000
商铺 出租 	 九九 大悦 城 附近 美容 	 朝阳 - 华纺 新天地 6000 元月
物业管理 保安 	 公园 巡逻 	 朝阳 - 朝阳 周边 - 酒仙桥 恒通 国际 5001 - 8000 元
工人 技工 	 招 装卸 搬运工 有 包吃 住 	 顺义 - 邮政 物流 中心 5001 - 8000 元
职业技能 	 北京 十大 排名 微 整形 培训 学校 	 朝阳 - 亚运村 - 北京 朝阳区 亚运村 大屯 北路 润枫 德尚 5800 元
物业管理 保安 	 坐岗养 大爷 的 	 丰台 - 丰台 周边 - 丰台区 大成 路 5001 - 8000 元
运输 物流 仓管 	 学徒 仓管 ＋ 怀柔 招聘 普工 ＋ 弹性 	 怀柔 - 就近 分配 5001 - 8000
物业管理 保安 	 轻松 可玩 手机 吃 住 好 	 朝阳 - 朝外 大街 - 朝阳区 建国路 5001 - 8000 元
物业管理 保安 	 吃 自助 急招 保安 	 丰台 - 大红门 - 大红门 商场 5001 - 8000 元
公司 注册 	 北京 朝阳 及 北京 各区 北京 	 朝阳 - 北京市 大兴区 金星 路 18 号 6 幢 一层 4113 面议
职业技能 	 北京 微 整形 培训班 十大 排名 哪家 好 	 朝阳 - 海奥 学校 + 医院 500 元
行政 后勤 	 做二休 三七 险一金 好 	 延庆 - 根据 个人 户籍 就近 分配 8001 - 10000
工人 技工 	 公司 直 招招 前台 接待 	 海淀 - 美廉美 超市 ( 花园路 店 ) 5001 - 8000 元
